j,v1,v2,v3,time
0,0.0609796,0.0609796,1.96796,0.00204468
2,0.0579583,0.0589654,1.91298,0.00390625
4,0.0569512,0.0559945,1.86096,0.00570678
6,0.0549874,0.0559945,1.81096,0.00753784
8,0.0529732,0.0529732,1.76196,0.00933837
10,0.0519661,0.0529732,1.71498,0.0111694
12,0.0519661,0.0519661,1.66996,0.013031
14,0.0479881,0.0479881,1.618,0.0150757
16,0.0489952,0.0479881,1.57399,0.0169067
18,0.0459739,0.0459739,1.53099,0.0187683
20,0.0459739,0.0459739,1.49196,0.0205688
22,0.0439597,0.0439597,1.45198,0.0224304
24,0.0439597,0.0429526,1.41396,0.0242615
26,0.0419959,0.0409888,1.37796,0.026062
28,0.0409888,0.0409888,1.33697,0.0278625
30,0.0389746,0.0419959,1.30499,0.0296936
32,0.0409888,0.0389746,1.27297,0.0315552
34,0.0379675,0.0389746,1.23797,0.0333862
36,0.0369604,0.0369604,1.206,0.0352173
38,0.0369604,0.0369604,1.17598,0.0370178
40,0.0359533,0.0359533,1.14497,0.0388183
42,0.0349965,0.0349965,1.11495,0.0406494
44,0.0339894,0.0339894,1.08696,0.0424499
46,0.0329823,0.0319753,1.05795,0.0442505
48,0.0319753,0.0329823,1.03499,0.0460815
50,0.0329823,0.0309682,1.00599,0.0478821
52,0.0309682,0.0319753,0.976983,0.0496826
54,0.0299611,0.028954,0.953971,0.0515137
56,0.0299611,0.028954,0.930959,0.0533142
58,0.0279972,0.028954,0.904975,0.0551453
60,0.0269901,0.0279972,0.88297,0.0569458
62,0.0279972,0.0269901,0.860966,0.0587463
64,0.0269901,0.025983,0.83896,0.0605774
66,0.025983,0.024976,0.816955,0.0624084
68,0.024976,0.024976,0.796964,0.064209
70,0.024976,0.0239689,0.776974,0.06604
72,0.0239689,0.024976,0.755976,0.0678405
74,0.0239689,0.0229618,0.738956,0.0696716
76,0.0229618,0.0219547,0.719972,0.0714722
78,0.0209979,0.0219547,0.701995,0.0733032
80,0.0219547,0.0229618,0.684976,0.0751038
82,0.0209979,0.0209979,0.668963,0.0769043
84,0.0189837,0.0209979,0.649979,0.0787353
86,0.0209979,0.0199908,0.632959,0.0805359
88,0.0189837,0.0189837,0.61896,0.0823669
90,0.0179766,0.0199908,0.603955,0.0841675
92,0.0189837,0.0199908,0.589956,0.0859985
94,0.0169695,0.0169695,0.57495,0.0877991
96,0.0169695,0.0169695,0.560952,0.0895996
98,0.0169695,0.0179766,0.546953,0.0914306
100,0.0179766,0.0169695,0.533962,0.0932312
102,0.0149554,0.0169695,0.52097,0.0950622
104,0.0139986,0.0169695,0.507979,0.0968628
106,0.0159625,0.0159625,0.496951,0.0986938
108,0.0149554,0.0149554,0.483959,0.100494
110,0.0149554,0.0159625,0.472982,0.102325
112,0.0149554,0.0149554,0.460998,0.104126
114,0.0129915,0.0139986,0.446999,0.106384
116,0.0129915,0.0129915,0.435971,0.108215
118,0.0119844,0.0129915,0.425951,0.110016
120,0.0119844,0.0139986,0.415981,0.111847
122,0.0119844,0.0129915,0.403996,0.113647
124,0.0129915,0.0119844,0.394983,0.115479
126,0.0119844,0.0139986,0.384962,0.117279
128,0.0119844,0.0129915,0.375999,0.11908
130,0.0119844,0.0109773,0.369,0.120941
132,0.0119844,0.0119844,0.357972,0.122742
134,0.0119844,0.0119844,0.349965,0.124573
136,0.00997024,0.0109773,0.330982,0.126373
138,0.00997024,0.0139986,0.332996,0.128204
140,0.00997024,0.0109773,0.32499,0.130005
142,0.00795605,0.0109773,0.316983,0.131805
144,0.00997024,0.00997024,0.308977,0.133636
146,0.00896315,0.00997024,0.301977,0.135437
148,0.00997024,0.00997024,0.294978,0.137268
150,0.00896315,0.00896315,0.287979,0.139069
152,0.00896315,0.00997024,0.28098,0.1409
154,0.00997024,0.00896315,0.274987,0.1427
156,0.00795605,0.00795605,0.266981,0.145172
158,0.00795605,0.00896315,0.259982,0.147003
160,0.00795605,0.00896315,0.254996,0.148834
162,0.00896315,0.00795605,0.247997,0.150635
164,0.00795605,0.00896315,0.241955,0.152466
166,0.00699931,0.00795605,0.236969,0.154266
168,0.00795605,0.00795605,0.230977,0.156067
170,0.00795605,0.00699931,0.223978,0.158569
172,0.00795605,0.00699931,0.22,0.1604
174,0.00699931,0.00699931,0.211993,0.162903
176,0.00599222,0.00599222,0.204994,0.165588
178,0.00599222,0.00599222,0.199959,0.167419
180,0.00498512,0.00699931,0.194974,0.16925
182,0.00795605,0.00498512,0.191952,0.171082
184,0.00699931,0.00599222,0.18596,0.172882
186,0.00699931,0.00795605,0.180975,0.174713
188,0.00599222,0.00599222,0.177954,0.176544
190,0.00397803,0.00599222,0.173976,0.178345
192,0.00397803,0.00498512,0.170954,0.180176
194,0.00498512,0.00498512,0.166976,0.182007
196,0.00498512,0.00599222,0.161991,0.183807
198,0.00498512,0.00397803,0.157963,0.185638
200,0.00498512,0.00498512,0.155999,0.187439
202,0.00397803,0.00397803,0.150964,0.18927
204,0.00397803,0.00397803,0.149,0.191071
206,0.00397803,0.00397803,0.144971,0.192902
208,0.00498512,0.00498512,0.140993,0.194733
210,0.00397803,0.00498512,0.138979,0.196564
